as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2019-03-05,1000,1.0,0.0,2.21106836360066e-39
2019-03-05,10000,1.0,0.0,0.0
2019-03-05,100,2.5,0.0,1.8403222419547132e-08
2019-03-05,1000,2.5,0.0,4.3237736313053115e-70
2019-03-05,10000,2.5,0.0,0.0
2019-03-05,100,5.0,0.0,1.566553742916901e-13
2019-03-05,1000,5.0,0.0,4.201614553050812e-119
2019-03-05,10000,5.0,0.0,0.0
2019-03-12,100,1.0,7.114447391019445e-07,7.114447391019445e-07
2019-03-12,1000,1.0,1.3521518696887296e-55,1.3521518696887296e-55
2019-03-12,10000,1.0,0.0,0.0
2019-03-12,100,2.5,1.5896985024172396e-09,1.5896985024172396e-09
2019-03-12,1000,2.5,5.396955478730352e-80,5.396955478730352e-80
2019-03-12,10000,2.5,0.0,0.0
2019-03-12,100,5.0,1.4459952591678649e-12,1.4459952591678649e-12
2019-03-12,1000,5.0,4.705496594042994e-108,4.705496594042994e-108
2019-03-12,10000,5.0,0.0,0.0
2019-03-26,100,1.0,6.299128243073908e-168,2.97070364871648e-10
2019-03-26,1000,1.0,0.0,1.2748570145958787e-87
2019-03-26,10000,1.0,0.0,0.0
2019-03-26,100,2.5,2.230776550584674e-295,1.0886010188880799e-17
2019-03-26,1000,2.5,0.0,1.2851399455351822e-159
2019-03-26,10000,2.5,0.0,0.0
2019-03-26,100,5.0,0.0,1.6098136489531197e-24
2019-03-26,1000,5.0,0.0,2.052724222174501e-226
2019-03-26,10000,5.0,0.0,0.0
2019-04-02,100,1.0,7.908314434911333e-13,3.1988713558900525e-18
2019-04-02,1000,1.0,3.725110174612775e-113,2.5770870927472926e-166
2019-04-02,10000,1.0,0.0,0.0
2019-04-02,100,2.5,8.210162525711475e-16,2.6294020581389907e-23
2019-04-02,1000,2.5,8.80245811592141e-142,6.082400483244859e-216
2019-04-02,10000,2.5,0.0,0.0
2019-04-02,100,5.0,1.9546759904169415e-16,2.9744818439034966e-27
2019-04-02,1000,5.0,1.011649362873612e-146,8.374101759890485e-254
2019-04-02,10000,5.0,0.0,0.0
2019-04-09,100,1.0,1.765764766153481e-39,6.828496979000848e-07
2019-04-09,1000,1.0,0.0,1.0693498725081562e-55
2019-04-09,10000,1.0,0.0,0.0
2019-04-09,100,2.5,6.107356509027426e-95,1.3323427580805026e-16
2019-04-09,1000,2.5,0.0,2.5788578952587415e-149
2019-04-09,10000,2.5,0.0,0.0
2019-04-09,100,5.0,6.617804980253492e-190,1.241941297302698e-28
2019-04-09,1000,5.0,0.0,1.460419263140978e-267
2019-04-09,10000,5.0,0.0,0.0
2019-04-16,100,1.0,4.863588387383174e-18,0.012757859327037829
2019-04-16,1000,1.0,2.5878633461152515e-164,1.2202297727870525e-16
2019-04-16,10000,1.0,0.0,3.318704605417439e-148
2019-04-16,100,2.5,8.800063364197695e-32,0.00040600471890476597
2019-04-16,1000,2.5,7.059538654274859e-300,1.7615986467782348e-29
2019-04-16,10000,2.5,0.0,3.5401628617423114e-274
2019-04-16,100,5.0,5.430656281195606e-55,1.94104066416751e-06
2019-04-16,1000,5.0,0.0,1.6257200882506722e-50
2019-04-16,10000,5.0,0.0,0.0
2019-04-23,100,1.0,7.664005358616445e-207,1.9161056004710182e-60
2019-04-23,1000,1.0,0.0,0.0
2019-04-23,10000,1.0,0.0,0.0
2019-04-23,100,2.5,8.178964936477847e-307,3.0442489577074844e-54
