as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2022-04-19,10000,1.0,0.0,0.0
2022-04-19,100,2.5,2.4124628471425465e-165,1.184329552592627e-23
2022-04-19,1000,2.5,0.0,1.0368915621176743e-218
2022-04-19,10000,2.5,0.0,0.0
2022-04-19,100,5.0,5.054120760349024e-271,9.736247108374345e-19
2022-04-19,1000,5.0,0.0,1.349438007346812e-169
2022-04-19,10000,5.0,0.0,0.0
2022-04-26,100,1.0,0.12313168630947412,1.2957826287117866e-53
2022-04-26,1000,1.0,1.6575586803120416e-08,0.0
2022-04-26,10000,1.0,1.0070490297057208e-69,0.0
2022-04-26,100,2.5,0.47076610235013305,1.7342325361080256e-47
2022-04-26,1000,2.5,0.0013511601870460884,0.0
2022-04-26,10000,2.5,1.0293310877166352e-23,0.0
2022-04-26,100,5.0,0.7566252481775478,6.265238735206342e-43
2022-04-26,1000,5.0,0.07531523770893336,0.0
2022-04-26,10000,5.0,3.82974056304314e-09,0.0
2022-05-03,100,1.0,7.905291983181292e-20,7.905291983181292e-20
2022-05-03,1000,1.0,1.230339064476686e-181,1.230339064476686e-181
2022-05-03,10000,1.0,0.0,0.0
2022-05-03,100,2.5,1.0198598651287544e-20,1.0198598651287544e-20
2022-05-03,1000,2.5,8.19538136750484e-190,8.19538136750484e-190
2022-05-03,10000,2.5,0.0,0.0
2022-05-03,100,5.0,9.768242305227591e-23,9.768242305227591e-23
2022-05-03,1000,5.0,5.221856945382932e-209,5.221856945382932e-209
2022-05-03,10000,5.0,0.0,0.0
2022-05-10,100,1.0,6.258389514371457e-115,1.0721199649375794e-06
2022-05-10,1000,1.0,0.0,5.949466285420011e-54
2022-05-10,10000,1.0,0.0,0.0
2022-05-10,100,2.5,4.3455933197134576e-197,3.1993678193780124e-09
2022-05-10,1000,2.5,0.0,2.8079429803862893e-77
2022-05-10,10000,2.5,0.0,0.0
2022-05-10,100,5.0,0.0,4.2023363314526545e-15
2022-05-10,1000,5.0,0.0,5.231084592121649e-134
2022-05-10,10000,5.0,0.0,0.0
