team,att,def
Gabon,0.5894681434995939,-0.26390871869071375
Galicia,-0.20174969695788192,-0.02932378832547311
Gambia,0.8228057745733841,-0.1507798109354992
Georgia,0.9219668383623469,-0.7864991712531451
Germany,1.5123698784362674,-1.1618420005517462
Ghana,0.7142155017930953,-0.9746881030601622
Gibraltar,-0.5255938932341714,0.19849927867462808
Gotland,-0.20425972012654564,0.9318438883172953
Gozo,-1.0396821069848297,0.42006092860557326
Greece,1.0503162488667175,-1.0291952220113858
Greenland,-0.872966654304262,1.4281607690852012
Grenada,-0.28378992558014215,0.47509120315191444
Guadeloupe,0.03670334461738595,-0.013387370749054384
Guam,-1.4058952463801766,1.1428176704454849
Guatemala,0.4618255808149248,-0.29903348509601957
Guernsey,-0.5721826189785144,0.15780585648394552
Guinea,0.49488079991573214,-0.6317669706699691
Guinea-Bissau,-0.11393379550888802,-0.4253750836120067
Guyana,0.13871388574284155,0.26480076898934823
Haiti,0.6256947699299789,-0.27472294917170725
Hitra,-0.31085662087489757,1.3847470798070656
Hmong,-0.6917840342107984,1.9548481696883473
Honduras,0.21715056504718327,-0.6516984985827501
Hong Kong,-0.16291320594235567,0.05944891266235236
Hungary,0.8643055677376323,-0.8661760639530749
Iceland,0.9660521218240814,-0.5577396575800229
India,-0.5970725364015341,-0.1719804505620668
Indonesia,0.2825981828982746,-0.2250974990730863
Iran,1.0438206795249958,-0.9468508369344384
Iraq,0.6060215515787926,-0.891570929904661
Iraqi Kurdistan,0.16864867126842326,-0.19586588890747603
Isle of Man,0.26596330922137984,0.6669614188167587
Isle of Wight,-0.33487931540815746,0.31784029707938966
Israel,1.1390669418746897,-0.4863578063186267
Italy,1.2093224062021275,-1.1056408310158878
Ivory Coast,0.7414666132033085,-1.17170595174236
Jamaica,0.1930181523005387,-0.6417294659436448
Japan,1.4051643655172559,-1.4055929028810963
Jersey,0.06152401224047982,0.4781728397788584
Jordan,0.9220904371566552,-0.720621947919337
Kabylia,-0.7053244717951561,1.2245080765954972
Kazakhstan,0.29627395366157266,-0.44227906601057854
Kenya,0.31958513794185545,-0.313504789862186
Kernow,-0.4593731291947256,0.18769374558919857
Kosovo,0.8808688832832996,-0.9857177498798766
Kuwait,0.2573215892785948,-0.2164397924241419
Kyrgyzstan,0.3703934675798431,-0.2401880327225211
Kárpátalja,0.09024353808088792,0.07529143473272643
Laos,-0.584349083672188,0.8705726481476278
Latvia,0.13187820581326914,-0.3776834536179795
Lebanon,-0.07531702616600186,-0.46151899928160256
Lesotho,0.09897918677119066,-0.2610053646771786
Liberia,0.20116131533913767,-0.1952019918378035
Libya,0.35052816886469557,-0.606593992278845
Liechtenstein,-1.2586863985296053,0.2356193570659571
Lithuania,0.06039128229188978,-0.4141553179578946
Luhansk PR,0.05905168839019803,0.8277623608216983
Luxembourg,0.027483438110531833,-0.5424545274163527
Macau,-1.6990890173813284,1.4746790352645127
Madagascar,0.5632937546995502,-0.24358162889229984
Malawi,0.019803955994775746,-0.3739680757807171
Malaysia,0.12832528144563876,-0.07125298006786052
Maldives,-0.7272033480561296,0.764523114710933
Mali,0.6207664658572976,-1.2432586700526673
Malta,-0.032667972775631826,-0.2543569580589249
Mapuche,-0.09806076323169802,0.9162551399903589
Marshall Islands,-1.5643761992499499,2.6907417014398556
Martinique,-0.18285950659888697,-0.05835215581627662
Matabeleland,-1.212379936736976,1.1565935122533677
Maule Sur,-1.0529022840172437,-2.0368309568763827
Mauritania,-0.15868517251597908,-0.49571259781214094
Mauritius,-0.22307997407830965,-0.1304557283066976
Mayotte,-0.6374422899767783,-1.5316703719942852
Menorca,-0.8485006930535239,0.9989621130089278
Mexico,1.2300171142452343,-1.5952283998364272
Moldova,0.12399480117932293,-0.08879220017786382
Monaco,-0.8099190130716253,0.1987231533145578
Mongolia,-1.3494491123121528,0.7178603840252782
Montenegro,0.3953978076774087,-0.44969122074508927
Montserrat,-0.5396404181772256,0.5473512546112207
Morocco,1.093350201187747,-1.743434964491353
Mozambique,0.49234145713927385,-0.16665713750660327
Myanmar,-0.42556189668739286,0.6166939595420384
Namibia,0.08476488023723705,-0.2845127589411691
Nepal,-0.8487321446453493,0.3596528671980821
Netherlands,1.4662881483061754,-1.2147792633545178
New Caledonia,-0.5160966341040572,0.45593495473350976
New Zealand,0.33751912811511225,-0.7422575280385244
Nicaragua,-0.028021139817557494,-0.13945275323388984
Niger,0.5969395588201154,-0.3643248851031521
Nigeria,1.0035334907769922,-0.9297600195755247
North Korea,0.4922535253862416,-0.3113151395938255
North Macedonia,0.5923853265694614,-0.644191144032177
Northern Cyprus,0.12172912688865906,-0.1445243156880036
Northern Ireland,0.5839278315662204,-0.9550772105386849
Northern Mariana Islands,-1.6037026958620397,2.468048681819085
Norway,1.5326923426644814,-1.12643578430013
Oman,0.30174562536553423,-0.7015969468173939
Orkney,-0.7353184976863338,0.7942155628901366
Padania,-0.01892609947182533,-0.12418819207555165
Pakistan,-1.0667562613330324,0.5572456061182447
