match_id,bookmaker,latest
69d7b03c8c472bdcd27a,Winamax (FR),2026-09-09T05:15:31+00:00
845ec28063ce46534ca5,1xBet,2026-09-09T05:15:27+00:00
845ec28063ce46534ca5,888sport,2026-09-09T05:15:50+00:00
845ec28063ce46534ca5,BetOnline.ag,2026-09-09T05:16:12+00:00
845ec28063ce46534ca5,Betclic (FR),2026-09-09T05:11:40+00:00
845ec28063ce46534ca5,Betfair,2026-09-09T05:15:51+00:00
845ec28063ce46534ca5,Betsson,2026-09-09T05:15:28+00:00
845ec28063ce46534ca5,Codere (IT),2026-09-09T05:15:28+00:00
845ec28063ce46534ca5,Coolbet,2026-09-09T05:16:15+00:00
845ec28063ce46534ca5,Everygame,2026-09-09T05:14:04+00:00
845ec28063ce46534ca5,GTbets,2026-09-09T05:15:51+00:00
845ec28063ce46534ca5,LeoVegas (SE),2026-09-09T05:15:29+00:00
845ec28063ce46534ca5,Marathon Bet,2026-09-09T05:15:28+00:00
845ec28063ce46534ca5,Matchbook,2026-09-09T05:16:15+00:00
845ec28063ce46534ca5,Nordic Bet,2026-09-09T05:16:15+00:00
845ec28063ce46534ca5,PMU (FR),2026-09-09T05:15:28+00:00
845ec28063ce46534ca5,Pinnacle,2026-09-09T05:16:12+00:00
845ec28063ce46534ca5,Suprabets,2026-09-09T05:14:38+00:00
845ec28063ce46534ca5,Tipico,2026-09-09T05:16:14+00:00
845ec28063ce46534ca5,Unibet (FR),2026-09-09T05:15:51+00:00
845ec28063ce46534ca5,Unibet (NL),2026-09-09T05:16:13+00:00
845ec28063ce46534ca5,Unibet (SE),2026-09-09T05:15:34+00:00
845ec28063ce46534ca5,William Hill,2026-09-09T05:15:50+00:00
845ec28063ce46534ca5,Winamax (DE),2026-09-09T05:15:53+00:00
845ec28063ce46534ca5,Winamax (FR),2026-09-09T05:15:31+00:00
9545ef5af328292a97c3,1xBet,2026-09-09T05:15:27+00:00
9545ef5af328292a97c3,888sport,2026-09-09T05:15:50+00:00
9545ef5af328292a97c3,BetOnline.ag,2026-09-09T05:16:12+00:00
9545ef5af328292a97c3,Betclic (FR),2026-09-09T05:11:40+00:00
9545ef5af328292a97c3,Betfair,2026-09-09T05:15:51+00:00
9545ef5af328292a97c3,Betsson,2026-09-09T05:15:28+00:00
9545ef5af328292a97c3,Codere (IT),2026-09-09T05:15:28+00:00
9545ef5af328292a97c3,Coolbet,2026-09-09T05:16:15+00:00
9545ef5af328292a97c3,Everygame,2026-09-09T05:14:04+00:00
9545ef5af328292a97c3,GTbets,2026-09-09T05:15:51+00:00
9545ef5af328292a97c3,LeoVegas (SE),2026-09-09T05:15:29+00:00
9545ef5af328292a97c3,Marathon Bet,2026-09-09T05:15:28+00:00
9545ef5af328292a97c3,Matchbook,2026-09-09T05:16:15+00:00
9545ef5af328292a97c3,Nordic Bet,2026-09-09T05:16:15+00:00
9545ef5af328292a97c3,PMU (FR),2026-09-09T05:15:28+00:00
9545ef5af328292a97c3,Pinnacle,2026-09-09T05:16:12+00:00
9545ef5af328292a97c3,Suprabets,2026-09-09T05:14:38+00:00
9545ef5af328292a97c3,Tipico,2026-09-09T05:16:14+00:00
9545ef5af328292a97c3,Unibet (FR),2026-09-09T05:15:51+00:00
9545ef5af328292a97c3,Unibet (NL),2026-09-09T05:16:13+00:00
9545ef5af328292a97c3,Unibet (SE),2026-09-09T05:15:34+00:00
9545ef5af328292a97c3,William Hill,2026-09-09T05:15:50+00:00
9545ef5af328292a97c3,Winamax (DE),2026-09-09T05:15:53+00:00
9545ef5af328292a97c3,Winamax (FR),2026-09-09T05:15:31+00:00
d6e255b0a50a6c5e3769,1xBet,2026-09-09T05:15:27+00:00
d6e255b0a50a6c5e3769,888sport,2026-09-09T05:15:50+00:00
d6e255b0a50a6c5e3769,BetOnline.ag,2026-09-09T05:16:12+00:00
d6e255b0a50a6c5e3769,Betclic (FR),2026-09-09T05:11:40+00:00
d6e255b0a50a6c5e3769,Betfair,2026-09-09T05:15:51+00:00
d6e255b0a50a6c5e3769,Betsson,2026-09-09T05:15:28+00:00
d6e255b0a50a6c5e3769,Codere (IT),2026-09-09T05:15:28+00:00
d6e255b0a50a6c5e3769,Coolbet,2026-09-09T05:16:15+00:00
d6e255b0a50a6c5e3769,Everygame,2026-09-09T05:14:04+00:00
d6e255b0a50a6c5e3769,GTbets,2026-09-09T05:15:51+00:00
d6e255b0a50a6c5e3769,LeoVegas (SE),2026-09-09T05:15:29+00:00
d6e255b0a50a6c5e3769,Marathon Bet,2026-09-09T05:15:28+00:00
d6e255b0a50a6c5e3769,Matchbook,2026-09-09T05:16:15+00:00
d6e255b0a50a6c5e3769,Nordic Bet,2026-09-09T05:16:15+00:00
d6e255b0a50a6c5e3769,PMU (FR),2026-09-09T05:15:28+00:00
d6e255b0a50a6c5e3769,Pinnacle,2026-09-09T05:16:12+00:00
d6e255b0a50a6c5e3769,Suprabets,2026-09-09T05:14:38+00:00
d6e255b0a50a6c5e3769,Tipico,2026-09-09T05:16:14+00:00
d6e255b0a50a6c5e3769,Unibet (FR),2026-09-09T05:15:51+00:00
d6e255b0a50a6c5e3769,Unibet (NL),2026-09-09T05:16:13+00:00
d6e255b0a50a6c5e3769,Unibet (SE),2026-09-09T05:15:34+00:00
d6e255b0a50a6c5e3769,William Hill,2026-09-09T05:15:50+00:00
d6e255b0a50a6c5e3769,Winamax (DE),2026-09-09T05:15:53+00:00
d6e255b0a50a6c5e3769,Winamax (FR),2026-09-09T05:15:31+00:00
