strategy,season,matchday,points,baseline_points,changes,expected_cost,added_draws,games,better,equal,worse
baseline,2016,12,9,9,0,0.0,0.0,9,False,True,False
baseline,2016,13,16,16,0,0.0,0.0,9,False,True,False
baseline,2016,14,13,13,0,0.0,0.0,9,False,True,False
baseline,2016,15,6,6,0,0.0,0.0,9,False,True,False
baseline,2016,16,6,6,0,0.0,0.0,9,False,True,False
baseline,2016,17,19,19,0,0.0,0.0,9,False,True,False
baseline,2016,18,11,11,0,0.0,0.0,9,False,True,False
baseline,2016,19,20,20,0,0.0,0.0,9,False,True,False
baseline,2016,20,15,15,0,0.0,0.0,9,False,True,False
baseline,2016,21,6,6,0,0.0,0.0,9,False,True,False
baseline,2016,22,8,8,0,0.0,0.0,9,False,True,False
baseline,2016,23,14,14,0,0.0,0.0,9,False,True,False
baseline,2016,24,4,4,0,0.0,0.0,9,False,True,False
baseline,2016,25,15,15,0,0.0,0.0,9,False,True,False
baseline,2016,26,10,10,0,0.0,0.0,9,False,True,False
baseline,2016,27,15,15,0,0.0,0.0,9,False,True,False
baseline,2016,28,15,15,0,0.0,0.0,9,False,True,False
baseline,2016,29,17,17,0,0.0,0.0,9,False,True,False
baseline,2016,30,9,9,0,0.0,0.0,9,False,True,False
baseline,2016,31,10,10,0,0.0,0.0,9,False,True,False
baseline,2016,32,11,11,0,0.0,0.0,9,False,True,False
baseline,2016,33,9,9,0,0.0,0.0,9,False,True,False
baseline,2016,34,10,10,0,0.0,0.0,9,False,True,False
baseline,2017,1,18,18,0,0.0,0.0,9,False,True,False
baseline,2017,2,13,13,0,0.0,0.0,9,False,True,False
baseline,2017,3,6,6,0,0.0,0.0,9,False,True,False
baseline,2017,4,15,15,0,0.0,0.0,9,False,True,False
baseline,2017,5,13,13,0,0.0,0.0,9,False,True,False
baseline,2017,6,12,12,0,0.0,0.0,9,False,True,False
baseline,2017,7,16,16,0,0.0,0.0,9,False,True,False
baseline,2017,8,10,10,0,0.0,0.0,9,False,True,False
baseline,2017,9,10,10,0,0.0,0.0,9,False,True,False
baseline,2017,10,13,13,0,0.0,0.0,9,False,True,False
baseline,2017,11,16,16,0,0.0,0.0,9,False,True,False
baseline,2017,12,14,14,0,0.0,0.0,9,False,True,False
baseline,2017,13,8,8,0,0.0,0.0,9,False,True,False
baseline,2017,14,10,10,0,0.0,0.0,9,False,True,False
baseline,2017,15,6,6,0,0.0,0.0,9,False,True,False
baseline,2017,16,15,15,0,0.0,0.0,9,False,True,False
baseline,2017,17,8,8,0,0.0,0.0,9,False,True,False
baseline,2017,18,15,15,0,0.0,0.0,9,False,True,False
baseline,2017,19,6,6,0,0.0,0.0,9,False,True,False
baseline,2017,20,8,8,0,0.0,0.0,9,False,True,False
baseline,2017,21,13,13,0,0.0,0.0,9,False,True,False
baseline,2017,22,21,21,0,0.0,0.0,9,False,True,False
baseline,2017,23,19,19,0,0.0,0.0,9,False,True,False
baseline,2017,24,8,8,0,0.0,0.0,9,False,True,False
baseline,2017,25,16,16,0,0.0,0.0,9,False,True,False
baseline,2017,26,17,17,0,0.0,0.0,9,False,True,False
baseline,2017,27,8,8,0,0.0,0.0,9,False,True,False
baseline,2017,28,13,13,0,0.0,0.0,9,False,True,False
baseline,2017,29,7,7,0,0.0,0.0,9,False,True,False
baseline,2017,30,15,15,0,0.0,0.0,9,False,True,False
baseline,2017,31,14,14,0,0.0,0.0,9,False,True,False
baseline,2017,32,9,9,0,0.0,0.0,9,False,True,False
baseline,2017,33,12,12,0,0.0,0.0,9,False,True,False
baseline,2017,34,18,18,0,0.0,0.0,9,False,True,False
baseline,2018,1,8,8,0,0.0,0.0,9,False,True,False
baseline,2018,2,5,5,0,0.0,0.0,9,False,True,False
baseline,2018,3,15,15,0,0.0,0.0,9,False,True,False
baseline,2018,4,9,9,0,0.0,0.0,9,False,True,False
baseline,2018,5,17,17,0,0.0,0.0,9,False,True,False
baseline,2018,6,12,12,0,0.0,0.0,9,False,True,False
baseline,2018,7,10,10,0,0.0,0.0,9,False,True,False
baseline,2018,8,11,11,0,0.0,0.0,9,False,True,False
baseline,2018,9,6,6,0,0.0,0.0,9,False,True,False
baseline,2018,10,11,11,0,0.0,0.0,9,False,True,False
baseline,2018,11,8,8,0,0.0,0.0,9,False,True,False
baseline,2018,12,12,12,0,0.0,0.0,9,False,True,False
baseline,2018,13,16,16,0,0.0,0.0,9,False,True,False
baseline,2018,14,16,16,0,0.0,0.0,9,False,True,False
baseline,2018,15,12,12,0,0.0,0.0,9,False,True,False
baseline,2018,16,8,8,0,0.0,0.0,9,False,True,False
baseline,2018,17,13,13,0,0.0,0.0,9,False,True,False
baseline,2018,18,12,12,0,0.0,0.0,9,False,True,False
baseline,2018,19,18,18,0,0.0,0.0,9,False,True,False
baseline,2018,20,4,4,0,0.0,0.0,9,False,True,False
baseline,2018,21,14,14,0,0.0,0.0,9,False,True,False
baseline,2018,22,10,10,0,0.0,0.0,9,False,True,False
baseline,2018,23,12,12,0,0.0,0.0,9,False,True,False
baseline,2018,24,14,14,0,0.0,0.0,9,False,True,False
baseline,2018,25,17,17,0,0.0,0.0,9,False,True,False
baseline,2018,26,15,15,0,0.0,0.0,9,False,True,False
baseline,2018,27,14,14,0,0.0,0.0,9,False,True,False
baseline,2018,28,11,11,0,0.0,0.0,9,False,True,False
baseline,2018,29,18,18,0,0.0,0.0,9,False,True,False
baseline,2018,30,18,18,0,0.0,0.0,9,False,True,False
baseline,2018,31,4,4,0,0.0,0.0,9,False,True,False
baseline,2018,32,8,8,0,0.0,0.0,9,False,True,False
baseline,2018,33,4,4,0,0.0,0.0,9,False,True,False
baseline,2018,34,14,14,0,0.0,0.0,9,False,True,False
baseline,2019,1,15,15,0,0.0,0.0,9,False,True,False
baseline,2019,2,15,15,0,0.0,0.0,9,False,True,False
baseline,2019,3,13,13,0,0.0,0.0,9,False,True,False
baseline,2019,4,12,12,0,0.0,0.0,9,False,True,False
baseline,2019,5,18,18,0,0.0,0.0,9,False,True,False
baseline,2019,6,11,11,0,0.0,0.0,9,False,True,False
baseline,2019,7,8,8,0,0.0,0.0,9,False,True,False
baseline,2019,8,7,7,0,0.0,0.0,9,False,True,False
baseline,2019,9,8,8,0,0.0,0.0,9,False,True,False
baseline,2019,10,9,9,0,0.0,0.0,9,False,True,False
baseline,2019,11,8,8,0,0.0,0.0,9,False,True,False
baseline,2019,12,4,4,0,0.0,0.0,9,False,True,False
baseline,2019,13,11,11,0,0.0,0.0,9,False,True,False
baseline,2019,14,14,14,0,0.0,0.0,9,False,True,False
baseline,2019,15,16,16,0,0.0,0.0,9,False,True,False
baseline,2019,16,8,8,0,0.0,0.0,9,False,True,False
baseline,2019,17,13,13,0,0.0,0.0,9,False,True,False
baseline,2019,18,12,12,0,0.0,0.0,9,False,True,False
baseline,2019,19,10,10,0,0.0,0.0,9,False,True,False
