policy,form,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_90,residual_010,0.5,2013,306,3.1058647663682493,0.9525748580953952,0.5630739907098848,415,34,12.205882352941176,23,4,2,1,0
fixed_90,residual_010,0.5,2014,306,3.029677491122815,1.023463998233765,0.6103237731255295,406,34,11.941176470588236,20,3,1,0,0
fixed_90,residual_010,0.5,2015,306,3.012503866971379,0.9965148873458989,0.5942125620971106,401,34,11.794117647058824,18,2,0,0,0
fixed_90,residual_010,0.5,2016,306,3.022149332813913,0.9938118942356132,0.5953084762264433,420,34,12.352941176470589,20,4,2,0,0
fixed_90,residual_010,0.5,2017,306,2.9537749424083697,1.0112553561746427,0.6057267518475882,401,34,11.794117647058824,20,2,1,0,0
fixed_90,residual_010,0.5,2018,306,3.168681438191862,0.9775986429405438,0.5812793075851028,408,34,12.0,26,1,1,1,1
fixed_90,residual_010,0.5,2019,306,3.1706559614268546,0.9836351244384053,0.5867573322600987,383,34,11.264705882352942,18,2,0,0,0
fixed_90,residual_010,0.5,2020,306,3.072265926948354,1.0074261980106867,0.6004790357999985,405,34,11.911764705882353,21,3,1,0,0
fixed_90,residual_010,0.5,2021,306,3.0845204159995325,0.9996692521822895,0.5936001294002714,397,34,11.676470588235293,21,1,1,0,0
fixed_90,residual_010,0.5,2022,306,3.1849141503704264,1.0123937962517227,0.6054328274815125,388,34,11.411764705882353,20,4,1,0,0
fixed_90,residual_010,0.5,2023,306,3.080357419966008,0.9501023452292289,0.5650408534234576,429,34,12.617647058823529,22,4,2,1,0
fixed_90,residual_010,0.5,2024,306,3.1415319620247133,1.0161127451239607,0.6079596649055481,394,34,11.588235294117647,25,2,2,1,1
fixed_90,residual_010,0.5,2025,306,3.1387635840304537,0.9683357764536833,0.5721985892826941,438,34,12.882352941176471,22,7,4,1,0
fixed_90,residual_010,1.0,2011,306,2.9902075164915596,0.9992003365008696,0.5960869876517316,397,34,11.676470588235293,18,1,0,0,0
fixed_90,residual_010,1.0,2012,306,3.0611839910417205,0.9892749203902308,0.5890123377315373,411,34,12.088235294117647,21,2,1,0,0
fixed_90,residual_010,1.0,2013,306,3.0942607325139786,0.9409708242411247,0.5561568948635559,422,34,12.411764705882353,23,4,2,1,0
fixed_90,residual_010,1.0,2014,306,3.008082871796733,1.0018693789076831,0.59854510379583,410,34,12.058823529411764,19,3,0,0,0
fixed_90,residual_010,1.0,2015,306,2.9925513008840103,0.9765623212585306,0.5807441494101531,402,34,11.823529411764707,18,1,0,0,0
fixed_90,residual_010,1.0,2016,306,3.024290462574244,0.9959530239959442,0.5975189531288768,414,34,12.176470588235293,20,2,2,0,0
fixed_90,residual_010,1.0,2017,306,2.9384066724503564,0.995887086216629,0.5952808362730977,424,34,12.470588235294118,22,3,2,1,0
fixed_90,residual_010,1.0,2018,306,3.154829677995634,0.9637468827443155,0.5716778227340811,413,34,12.147058823529411,23,4,2,1,0
fixed_90,residual_010,1.0,2019,306,3.1550788229876345,0.9680579859991855,0.5759579259106825,403,34,11.852941176470589,18,2,0,0,0
fixed_90,residual_010,1.0,2020,306,3.0528401970103016,0.9880004680726343,0.5874572890602126,394,34,11.588235294117647,18,1,0,0,0
fixed_90,residual_010,1.0,2021,306,3.073480780458061,0.9886296166408179,0.5874287258264905,371,34,10.911764705882353,17,0,0,0,0
fixed_90,residual_010,1.0,2022,306,3.168462231253869,0.9959418771351647,0.5944976890319831,400,34,11.764705882352942,22,5,3,1,0
fixed_90,residual_010,1.0,2023,306,3.0762117245627327,0.9459566498259534,0.5594922338123383,427,34,12.558823529411764,21,4,1,0,0
fixed_90,residual_010,1.0,2024,306,3.115448075478943,0.9900288585781899,0.5912994385243137,411,34,12.088235294117647,22,4,3,1,0
fixed_90,residual_010,1.0,2025,306,3.1225309302065662,0.9521031226297959,0.5622896878469326,441,34,12.970588235294118,22,7,4,1,0
fixed_90,residual_020,0.0,2011,306,2.998671078092561,1.0059501372687794,0.6009187817453742,403,34,11.852941176470589,20,3,1,0,0
fixed_90,residual_020,0.0,2012,306,3.0976475049389673,1.019923818375649,0.6085436607950157,401,34,11.794117647058824,24,4,1,1,1
fixed_90,residual_020,0.0,2013,306,3.1369604634895984,0.9810366629847296,0.579293250077573,414,34,12.176470588235293,23,2,1,1,0
fixed_90,residual_020,0.0,2014,306,3.0845986518286623,1.0764888148126655,0.6334576677189322,391,34,11.5,18,1,0,0,0
fixed_90,residual_020,0.0,2015,306,3.057855858979761,1.0397839618227187,0.6213375794803024,376,34,11.058823529411764,18,1,0,0,0
fixed_90,residual_020,0.0,2016,306,3.041471826915541,1.0110117873446272,0.6039003152737953,432,34,12.705882352941176,23,4,2,2,0
fixed_90,residual_020,0.0,2017,306,2.9893214373636368,1.0451405112797483,0.6274380914500471,376,34,11.058823529411764,18,1,0,0,0
fixed_90,residual_020,0.0,2018,306,3.206563488481808,1.012880637690345,0.6023954020981037,402,34,11.823529411764707,28,2,1,1,1
fixed_90,residual_020,0.0,2019,306,3.2092357231401842,1.0204775419375582,0.6107576204406832,377,34,11.088235294117647,19,1,0,0,0
fixed_90,residual_020,0.0,2020,306,3.117086143835043,1.0498959139194262,0.6243456296785698,397,34,11.676470588235293,19,2,0,0,0
fixed_90,residual_020,0.0,2021,306,3.1200825001689356,1.0329158818663116,0.6095173107759755,422,34,12.411764705882353,19,2,0,0,0
fixed_90,residual_020,0.0,2022,306,3.227438432660901,1.05395736919101,0.6292420354674118,376,34,11.058823529411764,18,1,0,0,0
fixed_90,residual_020,0.0,2023,306,3.1083223479838047,0.9747441919603631,0.5823727817851347,420,34,12.352941176470589,21,5,2,0,0
fixed_90,residual_020,0.0,2024,306,3.189469362880153,1.0626424200571172,0.6355538338189851,352,34,10.352941176470589,19,1,0,0,0
fixed_90,residual_020,0.0,2025,306,3.1771172348758374,1.0031982124280665,0.5914419313232119,439,34,12.911764705882353,21,6,5,0,0
