method,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
select_fixed,0.5,2025,306,3.0679877319683997,0.9572403443105268,0.565703599754716,430,34,12.647058823529411,25,4,1,1,1
select_fixed,1.0,2016,306,2.964382811278058,0.9959530239959442,0.5975189531288768,400,34,11.764705882352942,20,2,1,0,0
select_fixed,1.0,2017,306,2.916688781678059,0.9958870862166291,0.5952808362730977,410,34,12.058823529411764,21,4,1,0,0
select_fixed,1.0,2018,306,3.115711022497029,0.9637468827443155,0.5716778227340811,403,34,11.852941176470589,19,5,0,0,0
select_fixed,1.0,2019,306,3.1148972652662916,0.9695258375499896,0.5770415772084718,395,34,11.617647058823529,20,1,1,0,0
select_fixed,1.0,2020,306,2.9711190443144093,0.9888616012044682,0.5880717474681051,399,34,11.735294117647058,21,3,1,0,0
select_fixed,1.0,2021,306,3.0255408540246163,0.9876357465557886,0.5866968500203953,381,34,11.205882352941176,17,0,0,0,0
select_fixed,1.0,2022,306,3.107662447914487,0.9959418771351647,0.5944976890319831,399,34,11.735294117647058,23,4,3,1,0
select_fixed,1.0,2023,306,3.0298039251764015,0.9467558710842418,0.5598153941385581,422,34,12.411764705882353,21,2,1,0,0
select_fixed,1.0,2024,306,3.071045503158836,0.9900288585781899,0.5912994385243137,416,34,12.235294117647058,23,5,2,1,0
select_fixed,1.0,2025,306,3.0634427870949343,0.9526953994370617,0.5626816168890167,436,34,12.823529411764707,21,4,2,0,0
select_half_life,0.0,2016,306,2.9744309419296915,1.0060011546475773,0.6041948556801301,397,34,11.676470588235293,20,3,2,0,0
select_half_life,0.0,2017,306,2.9359735892809558,1.015171893819526,0.6063188559476947,368,34,10.823529411764707,18,1,0,0,0
select_half_life,0.0,2018,306,3.12658520867758,0.9746210689248667,0.5787445602584513,410,34,12.058823529411764,19,4,0,0,0
select_half_life,0.0,2019,306,3.1385446798409857,0.9931732521246833,0.5921092195668578,417,34,12.264705882352942,22,6,2,1,0
select_half_life,0.0,2020,306,2.996793184982218,1.014535741872277,0.6061171038839623,384,34,11.294117647058824,17,0,0,0,0
select_half_life,0.0,2021,306,3.0430779016398466,1.0051727941710187,0.5981184724931748,383,34,11.264705882352942,18,1,0,0,0
select_half_life,0.0,2022,306,3.116386991964508,1.0046664211851857,0.6007591844662338,401,34,11.794117647058824,23,2,2,1,0
select_half_life,0.0,2023,306,3.0625472661916264,0.9788315263714394,0.5846929804638771,391,34,11.5,21,4,2,0,0
select_half_life,0.0,2024,306,3.1024754923788893,1.0199885032381897,0.6088580695195006,367,34,10.794117647058824,23,5,1,1,0
select_half_life,0.0,2025,306,3.082785711442095,0.9694902613941951,0.5726947685555998,432,34,12.705882352941176,25,4,2,1,1
select_half_life,0.5,2016,306,2.966273063902813,0.9978432766206989,0.5989418776986514,404,34,11.882352941176471,20,2,1,0,0
select_half_life,0.5,2017,306,2.9235355196555215,1.0027338241940917,0.5989857207203473,390,34,11.470588235294118,18,2,0,0,0
select_half_life,0.5,2018,306,3.1190560864052426,0.9670919466525293,0.5740120063415854,409,34,12.029411764705882,19,4,0,0,0
select_half_life,0.5,2019,306,3.123622245246585,0.9782508175302826,0.5826963527588225,416,34,12.235294117647058,20,3,1,0,0
select_half_life,0.5,2020,306,2.98091973916857,0.9986622960586288,0.5954552663216994,395,34,11.617647058823529,17,0,0,0,0
select_half_life,0.5,2021,306,3.0300480327746264,0.9921429253057985,0.5901901116174953,368,34,10.823529411764707,18,1,0,0,0
select_half_life,0.5,2022,306,3.109269609221843,0.9975490384425209,0.5959055590120274,407,34,11.970588235294118,23,3,2,1,0
select_half_life,0.5,2023,306,3.0417286519490303,0.9586805978568705,0.5696389048880511,403,34,11.852941176470589,21,2,2,0,0
select_half_life,0.5,2024,306,3.083988693385992,1.001501704245292,0.5978967410984641,396,34,11.647058823529411,23,6,2,1,0
select_half_life,0.5,2025,306,3.0679877319683997,0.9572403443105268,0.565703599754716,430,34,12.647058823529411,25,4,1,1,1
select_half_life,1.0,2016,306,2.964382811278058,0.9959530239959442,0.5975189531288768,400,34,11.764705882352942,20,2,1,0,0
select_half_life,1.0,2017,306,2.916688781678059,0.9958870862166291,0.5952808362730977,410,34,12.058823529411764,21,4,1,0,0
select_half_life,1.0,2018,306,3.115711022497029,0.9637468827443155,0.5716778227340811,403,34,11.852941176470589,19,5,0,0,0
select_half_life,1.0,2019,306,3.1148972652662916,0.9695258375499896,0.5770415772084718,395,34,11.617647058823529,20,1,1,0,0
select_half_life,1.0,2020,306,2.9711190443144093,0.9888616012044682,0.5880717474681051,399,34,11.735294117647058,21,3,1,0,0
