policy,form,book_weight,phase,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_270,legacy,0.0,26-34,1215,3.089916540233061,0.9914622477379811,0.5896963446541131,1569,135,11.622222222222222,23,10,6,4,0
fixed_270,legacy,0.0,9-25,2295,3.0147505199105185,1.002170666968949,0.5972089181449323,3001,255,11.768627450980393,25,24,7,5,1
fixed_270,legacy,0.5,1-8,1080,3.0606554512268556,0.986041328792204,0.5877523586943413,1431,120,11.925,22,11,2,1,0
fixed_270,legacy,0.5,26-34,1215,3.0779585134288148,0.9795042209337349,0.582909601865986,1615,135,11.962962962962964,23,14,4,1,0
fixed_270,legacy,0.5,9-25,2295,3.000645465755139,0.9880656128135693,0.5883681806476385,3026,255,11.866666666666667,25,23,7,5,1
fixed_270,legacy,1.0,1-8,1080,3.056867715577751,0.9822535931430991,0.5849492553926219,1410,120,11.75,22,9,1,1,0
fixed_270,legacy,1.0,26-34,1215,3.074107799179281,0.9756535066842011,0.5807476006647919,1653,135,12.244444444444444,23,13,6,1,0
fixed_270,legacy,1.0,9-25,2295,2.9929405714924746,0.9803607185509053,0.5831472770319002,3035,255,11.901960784313726,23,24,9,5,0
fixed_420,legacy,0.0,1-8,1080,3.057968223071445,0.9942446557388865,0.5927842973879236,1412,120,11.766666666666667,20,9,2,0,0
fixed_420,legacy,0.0,26-34,1215,3.0838761430055217,0.9894469163702423,0.5886582057149814,1598,135,11.837037037037037,23,13,3,2,0
fixed_420,legacy,0.0,9-25,2295,3.010090574714594,1.0011771806314225,0.5967037950840954,2948,255,11.56078431372549,25,19,8,4,1
fixed_420,legacy,0.5,1-8,1080,3.047929497887158,0.9842059305545992,0.5863878782484109,1429,120,11.908333333333333,20,12,2,0,0
fixed_420,legacy,0.5,26-34,1215,3.0732608322041948,0.9788316055689151,0.582541138881084,1646,135,12.192592592592593,23,16,6,1,0
fixed_420,legacy,0.5,9-25,2295,2.9968731381845894,0.9879597441014175,0.5883032051171257,3019,255,11.83921568627451,25,21,8,3,1
fixed_420,legacy,1.0,1-8,1080,3.0459771604756583,0.9822535931430991,0.5849492553926219,1404,120,11.7,20,9,1,0,0
fixed_420,legacy,1.0,26-34,1215,3.070081893876435,0.9756526672411561,0.5807503758691137,1662,135,12.311111111111112,23,17,6,1,0
fixed_420,legacy,1.0,9-25,2295,2.98931898984489,0.9804055957617179,0.5831731263343066,3025,255,11.862745098039216,23,24,9,2,0
fixed_630,legacy,0.0,1-8,1080,3.048725570751442,0.9894277684701807,0.5897272195353511,1424,120,11.866666666666667,20,9,2,0,0
fixed_630,legacy,0.0,26-34,1215,3.0827799751911527,0.9898373876175376,0.5891593727458007,1590,135,11.777777777777779,23,12,2,2,0
fixed_630,legacy,0.0,9-25,2295,3.0091094018396265,1.0013774838904137,0.596930566134629,2960,255,11.607843137254902,25,19,7,3,1
fixed_630,legacy,0.5,1-8,1080,3.0414041638732097,0.9821063615919486,0.585021727943436,1442,120,12.016666666666667,20,11,2,0,0
fixed_630,legacy,0.5,26-34,1215,3.0719073065120273,0.9789647189384124,0.5827122750246325,1640,135,12.148148148148149,23,15,6,1,0
fixed_630,legacy,0.5,9-25,2295,2.9958175156185187,0.9880855976693058,0.5883878801371647,3023,255,11.854901960784314,25,17,7,3,1
fixed_630,legacy,1.0,1-8,1080,3.0415513954243605,0.9822535931430991,0.5849492553926219,1394,120,11.616666666666667,20,7,1,0,0
fixed_630,legacy,1.0,26-34,1215,3.0685963167841592,0.9756537292105443,0.5807537642435286,1657,135,12.274074074074074,23,19,6,1,0
fixed_630,legacy,1.0,9-25,2295,2.988174248382633,0.9804423304334201,0.5831959110223915,3037,255,11.909803921568628,23,20,9,2,0
fixed_840,legacy,0.0,1-8,1080,3.045487569353772,0.9895091486687095,0.5897765778451314,1419,120,11.825,23,9,2,1,0
fixed_840,legacy,0.0,26-34,1215,3.0832836332275355,0.9907187486011882,0.5898914559249275,1603,135,11.874074074074073,23,13,3,2,0
fixed_840,legacy,0.0,9-25,2295,3.0096996000940073,1.0020014062639468,0.5973803126998469,2941,255,11.533333333333333,25,20,8,3,1
fixed_840,legacy,0.5,1-8,1080,3.038226348607544,0.9822479279224813,0.585087371044348,1436,120,11.966666666666667,20,11,1,0,0
fixed_840,legacy,0.5,26-34,1215,3.071823557290819,0.9792586726644721,0.5829634555890422,1644,135,12.177777777777777,23,14,6,1,0
fixed_840,legacy,0.5,9-25,2295,2.996004283956411,0.9883060901263504,0.5885377065337336,3014,255,11.819607843137256,25,17,7,3,1
fixed_840,legacy,1.0,1-8,1080,3.038232013828162,0.9822535931430991,0.5849492553926219,1407,120,11.725,19,6,0,0,0
fixed_840,legacy,1.0,26-34,1215,3.0682199623335165,0.9756550777071689,0.5807557945612023,1661,135,12.303703703703704,23,17,7,1,0
fixed_840,legacy,1.0,9-25,2295,2.9881609756335554,0.9804627818034951,0.5832091331240713,3041,255,11.925490196078432,23,22,9,2,0
fixed_90,legacy,0.0,1-8,1080,3.1813318445053884,1.043106110782834,0.6211602536234275,1348,120,11.233333333333333,23,7,3,2,0
fixed_90,legacy,0.0,26-34,1215,3.1427116373499766,1.0129375414341797,0.6017521450599457,1560,135,11.555555555555555,26,6,3,2,1
fixed_90,legacy,0.0,9-25,2295,3.0648928985523245,1.0188082652174975,0.6060826956411981,3010,255,11.803921568627452,25,23,6,3,2
fixed_90,legacy,0.5,1-8,1080,3.137628011438817,0.9994022777162624,0.5966387401533025,1384,120,11.533333333333333,22,10,5,1,0
fixed_90,legacy,0.5,26-34,1215,3.1160003938750496,0.9862262979592528,0.5869637970330466,1608,135,11.911111111111111,26,11,3,2,1
fixed_90,legacy,0.5,9-25,2295,3.0378804486241324,0.991795815289305,0.5905506171515706,3088,255,12.109803921568627,25,25,10,3,2
fixed_90,legacy,1.0,1-8,1080,3.1204793268656537,0.9822535931430991,0.5849492553926219,1411,120,11.758333333333333,21,8,2,0,0
fixed_90,legacy,1.0,26-34,1215,3.1053983055100836,0.9756242095942868,0.5807301393812149,1666,135,12.34074074074074,23,11,4,2,0
fixed_90,legacy,1.0,9-25,2295,3.026302502263553,0.9802178689287255,0.5830871814838346,3063,255,12.011764705882353,22,23,13,5,0
season_180_630,legacy,0.0,1-8,1080,3.080341783780608,1.000866654985335,0.5971881980560669,1379,120,11.491666666666667,24,8,4,1,1
season_180_630,legacy,0.0,26-34,1215,3.0822957160398827,0.9894220996065072,0.5888796441937973,1588,135,11.762962962962963,23,12,2,2,0
season_180_630,legacy,0.0,9-25,2295,3.0119228338869433,1.0022004294443139,0.5973721816757234,2961,255,11.611764705882353,25,19,6,4,1
season_180_630,legacy,0.5,1-8,1080,3.065680515678431,0.9862053868831576,0.5878300526437504,1410,120,11.75,21,9,2,0,0
season_180_630,legacy,0.5,26-34,1215,3.071675125069605,0.9788015086362294,0.5826090312436923,1636,135,12.118518518518519,23,14,6,1,0
season_180_630,legacy,0.5,9-25,2295,2.9981072353840785,0.9883848309414488,0.5885904209308853,3019,255,11.83921568627451,25,22,7,3,1
season_180_630,legacy,1.0,1-8,1080,3.0617287219383726,0.9822535931430991,0.5849492553926219,1404,120,11.7,20,7,1,0,0
season_180_630,legacy,1.0,26-34,1215,3.0685409142367894,0.9756672978034139,0.5807629168328069,1654,135,12.251851851851852,23,18,6,1,0
season_180_630,legacy,1.0,9-25,2295,2.99013684852179,0.9804144440791603,0.5831796309122962,3027,255,11.870588235294118,23,24,9,2,0
season_630_180,legacy,0.0,1-8,1080,3.0507053901159447,0.990732074861376,0.5905581516909845,1429,120,11.908333333333333,20,10,2,0,0
season_630_180,legacy,0.0,26-34,1215,3.0955181505920226,0.9937113701740932,0.5908670775425585,1558,135,11.540740740740741,21,8,5,0,0
season_630_180,legacy,0.0,9-25,2295,3.0098512579630397,1.0004568300159473,0.5962065659600879,2974,255,11.662745098039215,25,22,8,4,1
season_630_180,legacy,0.5,1-8,1080,3.042764664508756,0.9827913492541878,0.5854871022943935,1446,120,12.05,20,13,2,0,0
season_630_180,legacy,0.5,26-34,1215,3.082124114486375,0.9803173340684451,0.5833313816528877,1623,135,12.022222222222222,21,12,4,0,0
season_630_180,legacy,0.5,9-25,2295,2.996981157516416,0.9875867295693235,0.5880516952061093,3015,255,11.823529411764707,25,22,7,3,1
season_630_180,legacy,1.0,1-8,1080,3.0422269083976676,0.9822535931430991,0.5849492553926219,1395,120,11.625,20,8,1,0,0
season_630_180,legacy,1.0,26-34,1215,3.077428177424744,0.9756213970068146,0.5807245682315196,1653,135,12.244444444444444,21,12,5,0,0
season_630_180,legacy,1.0,9-25,2295,2.989784767573902,0.9803903396268094,0.583162885497732,3036,255,11.905882352941177,23,24,10,2,0
