policy,form,book_weight,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
season_180_630,residual_010,0.0,4590,3.045736935278575,0.9975146106430007,0.5946429068439626,6004,510,11.772549019607844,25,41,13,7,2
season_180_630,residual_010,0.5,4590,3.0332955589225143,0.9850732342869399,0.586674035793078,6072,510,11.905882352941177,25,46,15,6,1
season_180_630,residual_010,1.0,4590,3.027810194668177,0.9795878700326031,0.58295177815797,6081,510,11.923529411764706,23,50,17,3,0
season_180_630,residual_020,0.0,4590,3.0482001119457687,0.9989783383546482,0.5955399103102881,5983,510,11.731372549019607,25,41,14,6,1
season_180_630,residual_020,0.5,4590,3.0346894303681973,0.9854676567770767,0.5869172885371767,6109,510,11.97843137254902,25,45,16,7,1
season_180_630,residual_020,1.0,4590,3.028745732300571,0.9795239587094505,0.5829093510558703,6096,510,11.952941176470588,23,48,17,4,0
season_630_180,legacy,0.0,4590,3.0421405253419835,0.9963830894332044,0.5934641333156587,5961,510,11.688235294117646,25,40,15,4,1
season_630_180,legacy,0.5,4590,3.030291588947838,0.9845341530390589,0.5861987668157351,6084,510,11.929411764705883,25,47,13,3,1
season_630_180,legacy,1.0,4590,3.0253238209635405,0.9795663850547613,0.5829377709025323,6084,510,11.929411764705883,23,44,16,2,0
season_630_180,none,0.0,4590,3.040927389062398,0.9952984751201697,0.5930163017949356,6013,510,11.790196078431373,25,48,15,5,1
season_630_180,none,0.5,4590,3.0298596278976504,0.9842307139554223,0.5860401483661495,6111,510,11.98235294117647,25,52,14,4,1
season_630_180,none,1.0,4590,3.025262115128779,0.979633201186551,0.5829804487226897,6111,510,11.98235294117647,23,47,19,3,0
season_630_180,residual_005,0.0,4590,3.040794690293152,0.995208996103619,0.5929308217415781,5963,510,11.692156862745097,25,47,15,5,1
season_630_180,residual_005,0.5,4590,3.029814677381635,0.9842289831921015,0.586027520972455,6110,510,11.980392156862745,25,52,13,4,1
season_630_180,residual_005,1.0,4590,3.0251834454697524,0.9795977512802193,0.5829565823267716,6090,510,11.941176470588236,23,46,18,3,0
season_630_180,residual_010,0.0,4590,3.0412181483078475,0.9954744827918929,0.5930771899477548,5968,510,11.701960784313725,25,44,16,6,1
season_630_180,residual_010,0.5,4590,3.030062095731256,0.9843184302153011,0.5860759196668825,6120,510,12.0,25,52,13,4,1
season_630_180,residual_010,1.0,4590,3.0253075587993155,0.9795638932833609,0.5829339867086163,6102,510,11.964705882352941,23,47,17,3,0
season_630_180,residual_020,0.0,4590,3.0437377301669617,0.9970695087130846,0.5940582349834542,5917,510,11.601960784313725,25,38,16,6,2
season_630_180,residual_020,0.5,4590,3.0314398822039426,0.9847716607500651,0.5863554823134876,6106,510,11.972549019607843,25,49,15,4,1
season_630_180,residual_020,1.0,4590,3.0261690430597064,0.9795008216058292,0.5828925287332948,6089,510,11.93921568627451,23,44,16,3,0
